sub_region_2,variable,value
Brimbank City,workplaces_percent_change_from_baseline,-20.0
Campaspe Shire,workplaces_percent_change_from_baseline,-3.0
Cardinia Shire,workplaces_percent_change_from_baseline,1.0
Central Goldfields Shire,workplaces_percent_change_from_baseline,8.0
City of Casey,workplaces_percent_change_from_baseline,-4.0
City of Hume,workplaces_percent_change_from_baseline,-8.0
City of Knox,workplaces_percent_change_from_baseline,-23.0
City of Maribyrnong,workplaces_percent_change_from_baseline,-25.0
City of Wyndham,workplaces_percent_change_from_baseline,-15.0
City of Yarra,workplaces_percent_change_from_baseline,-37.0
Colac Otway Shire,workplaces_percent_change_from_baseline,-2.0
Corangamite Shire,workplaces_percent_change_from_baseline,6.0
Darebin City,workplaces_percent_change_from_baseline,-20.0
East Gippsland Shire,workplaces_percent_change_from_baseline,11.0
Frankston City,workplaces_percent_change_from_baseline,-8.0
Glen Eira City,workplaces_percent_change_from_baseline,-22.0
Glenelg Shire,workplaces_percent_change_from_baseline,4.0
Golden Plains Shire,workplaces_percent_change_from_baseline,-1.0
Greater Bendigo City,workplaces_percent_change_from_baseline,-1.0
Greater Dandenong City,workplaces_percent_change_from_baseline,-17.0
Greater Geelong City,workplaces_percent_change_from_baseline,-9.0
Greater Shepparton City,workplaces_percent_change_from_baseline,5.0
Hepburn Shire,workplaces_percent_change_from_baseline,4.0
Hobsons Bay City,workplaces_percent_change_from_baseline,-20.0
Horsham Rural City,workplaces_percent_change_from_baseline,10.0
Indigo Shire,workplaces_percent_change_from_baseline,8.0
Kingston City,workplaces_percent_change_from_baseline,-15.0
Latrobe City,workplaces_percent_change_from_baseline,0.0
Macedon Ranges Shire,workplaces_percent_change_from_baseline,-7.0
Manningham City,workplaces_percent_change_from_baseline,-13.0
Maroondah City,workplaces_percent_change_from_baseline,-17.0
Melbourne City,workplaces_percent_change_from_baseline,-28.0
Melton City,workplaces_percent_change_from_baseline,0.0
Mildura Rural City,workplaces_percent_change_from_baseline,-2.0
Mitchell Shire,workplaces_percent_change_from_baseline,-1.0
Moira Shire,workplaces_percent_change_from_baseline,-4.0
Monash City,workplaces_percent_change_from_baseline,-21.0
Moonee Valley City,workplaces_percent_change_from_baseline,-22.0
Moorabool Shire,workplaces_percent_change_from_baseline,-3.0
Moreland City,workplaces_percent_change_from_baseline,-23.0
Mount Alexander Shire,workplaces_percent_change_from_baseline,0.0
Moyne Shire,workplaces_percent_change_from_baseline,2.0
Murrindindi Shire,workplaces_percent_change_from_baseline,0.0
Nillumbik Shire,workplaces_percent_change_from_baseline,-11.0
Northern Grampians Shire,workplaces_percent_change_from_baseline,4.0
Port Phillip City,workplaces_percent_change_from_baseline,-36.0
Shire of Mornington Peninsula,workplaces_percent_change_from_baseline,-2.0
South Gippsland Shire,workplaces_percent_change_from_baseline,4.0
Southern Grampians Shire,workplaces_percent_change_from_baseline,10.0
Stonnington City,workplaces_percent_change_from_baseline,-33.0
Surf Coast Shire,workplaces_percent_change_from_baseline,-9.0
Swan Hill Rural City,workplaces_percent_change_from_baseline,-8.0
Wangaratta Rural City,workplaces_percent_change_from_baseline,8.0
Warrnambool City,workplaces_percent_change_from_baseline,-1.0
Wellington Shire,workplaces_percent_change_from_baseline,3.0
Whitehorse City,workplaces_percent_change_from_baseline,-17.0
Whittlesea City,workplaces_percent_change_from_baseline,-9.0
Wodonga City,workplaces_percent_change_from_baseline,3.0
Yarra Ranges Shire,workplaces_percent_change_from_baseline,-10.0
City of Albany,workplaces_percent_change_from_baseline,14.0
City of Armadale,workplaces_percent_change_from_baseline,-10.0
City of Bayswater,workplaces_percent_change_from_baseline,-15.0
City of Belmont,workplaces_percent_change_from_baseline,-17.0
City of Bunbury,workplaces_percent_change_from_baseline,8.0
City of Busselton,workplaces_percent_change_from_baseline,2.0
City of Canning,workplaces_percent_change_from_baseline,-9.0
City of Cockburn,workplaces_percent_change_from_baseline,-14.0
City of Fremantle,workplaces_percent_change_from_baseline,-19.0
City of Gosnells,workplaces_percent_change_from_baseline,-6.0
City of Greater Geraldton,workplaces_percent_change_from_baseline,14.0
City of Joondalup,workplaces_percent_change_from_baseline,-20.0
City of Kalamunda,workplaces_percent_change_from_baseline,-7.0
City of Kalgoorlie-Boulder,workplaces_percent_change_from_baseline,10.0
City of Karratha,workplaces_percent_change_from_baseline,0.0
City of Kwinana,workplaces_percent_change_from_baseline,-9.0
City of Mandurah,workplaces_percent_change_from_baseline,-4.0
City of Melville,workplaces_percent_change_from_baseline,-14.0
City of Nedlands,workplaces_percent_change_from_baseline,-20.0
City of Perth,workplaces_percent_change_from_baseline,-30.0
City of Rockingham,workplaces_percent_change_from_baseline,-8.0
City of South Perth,workplaces_percent_change_from_baseline,-25.0
City of Stirling,workplaces_percent_change_from_baseline,-23.0
City of Subiaco,workplaces_percent_change_from_baseline,-31.0
City of Swan,workplaces_percent_change_from_baseline,-2.0
City of Vincent,workplaces_percent_change_from_baseline,-34.0
City of Wanneroo,workplaces_percent_change_from_baseline,-7.0
Shire of Ashburton,workplaces_percent_change_from_baseline,13.0
Shire of Augusta-Margaret River,workplaces_percent_change_from_baseline,13.0
Shire of Broome,workplaces_percent_change_from_baseline,31.0
Shire of Capel,workplaces_percent_change_from_baseline,15.0
Shire of Dardanup,workplaces_percent_change_from_baseline,6.0
Shire of East Pilbara,workplaces_percent_change_from_baseline,2.0
Shire of Esperance,workplaces_percent_change_from_baseline,13.0
Shire of Harvey,workplaces_percent_change_from_baseline,18.0
Shire of Mundaring,workplaces_percent_change_from_baseline,-3.0
Shire of Murray,workplaces_percent_change_from_baseline,1.0
Shire of Northam,workplaces_percent_change_from_baseline,5.0
Shire of Serpentine-Jarrahdale,workplaces_percent_change_from_baseline,-5.0
Town of Bassendean,workplaces_percent_change_from_baseline,-23.0
Town of Cambridge,workplaces_percent_change_from_baseline,-27.0
Town of Claremont,workplaces_percent_change_from_baseline,-20.0
Town of Cottesloe,workplaces_percent_change_from_baseline,
Town of Port Hedland,workplaces_percent_change_from_baseline,6.0
Town of Victoria Park,workplaces_percent_change_from_baseline,-29.0
Armidale Dumaresq Council,residential_percent_change_from_baseline,
Ballina Shire Council,residential_percent_change_from_baseline,1.0
Bankstown City Council,residential_percent_change_from_baseline,3.0
Bathurst Regional Council,residential_percent_change_from_baseline,1.0
Bayside Council,residential_percent_change_from_baseline,6.0
Bega Valley Shire Council,residential_percent_change_from_baseline,0.0
Bellingen Shire Council,residential_percent_change_from_baseline,
Blue Mountains City Council,residential_percent_change_from_baseline,2.0
Broken Hill City Council,residential_percent_change_from_baseline,
Burwood Council,residential_percent_change_from_baseline,7.0
Byron Shire Council,residential_percent_change_from_baseline,2.0
Cabonne Shire Council,residential_percent_change_from_baseline,
Camden Council,residential_percent_change_from_baseline,2.0
Campbelltown City Council,residential_percent_change_from_baseline,3.0
Canterbury City Council,residential_percent_change_from_baseline,5.0
Cessnock City Council,residential_percent_change_from_baseline,0.0
City of Albury,residential_percent_change_from_baseline,1.0
City of Blacktown,residential_percent_change_from_baseline,4.0
City of Canada Bay Council,residential_percent_change_from_baseline,6.0
City of Lake Macquarie,residential_percent_change_from_baseline,1.0
City of Liverpool,residential_percent_change_from_baseline,2.0
City of Parramatta Council,residential_percent_change_from_baseline,7.0
City of Ryde,residential_percent_change_from_baseline,7.0
City of Shoalhaven,residential_percent_change_from_baseline,0.0
City of Willoughby,residential_percent_change_from_baseline,8.0
Clarence Valley Council,residential_percent_change_from_baseline,1.0
Coffs Harbour City Council,residential_percent_change_from_baseline,0.0
Cooma-Monaro Council,residential_percent_change_from_baseline,
Corowa Shire Council,residential_percent_change_from_baseline,
Council of the City of Sydney,residential_percent_change_from_baseline,8.0
Cowra Shire Council,residential_percent_change_from_baseline,
Cumberland Council,residential_percent_change_from_baseline,4.0
Dubbo City Council,residential_percent_change_from_baseline,0.0
Eurobodalla Shire Council,residential_percent_change_from_baseline,2.0
Fairfield City Council,residential_percent_change_from_baseline,2.0
Goulburn Mulwaree Council,residential_percent_change_from_baseline,0.0
Griffith City Council,residential_percent_change_from_baseline,2.0
Gunnedah Shire Council,residential_percent_change_from_baseline,
Hawkesbury City Council,residential_percent_change_from_baseline,2.0
Hurstville City Council,residential_percent_change_from_baseline,6.0
Inner West Council,residential_percent_change_from_baseline,7.0
Inverell Shire Council,residential_percent_change_from_baseline,
Kempsey Shire Council,residential_percent_change_from_baseline,
Kogarah City Council,residential_percent_change_from_baseline,5.0
Ku-ring-gai Council,residential_percent_change_from_baseline,7.0
Lane Cove Municipal Council,residential_percent_change_from_baseline,7.0
Leeton Shire Council,residential_percent_change_from_baseline,
Lismore City Council,residential_percent_change_from_baseline,0.0
Lithgow City Council,residential_percent_change_from_baseline,
Maitland City Council,residential_percent_change_from_baseline,1.0
Mid-Western Regional Council,residential_percent_change_from_baseline,
MidCoast Council,residential_percent_change_from_baseline,1.0
Mosman Municipal Council,residential_percent_change_from_baseline,
Muswellbrook Shire Council,residential_percent_change_from_baseline,
Nambucca Shire Council,residential_percent_change_from_baseline,
Newcastle City Council,residential_percent_change_from_baseline,2.0
North Sydney Council,residential_percent_change_from_baseline,8.0
Northern Beaches Council,residential_percent_change_from_baseline,5.0
Orange City Council,residential_percent_change_from_baseline,0.0
Palerang Council,residential_percent_change_from_baseline,
Parkes Shire Council,residential_percent_change_from_baseline,
Penrith City Council,residential_percent_change_from_baseline,2.0
Port Macquarie-Hastings Council,residential_percent_change_from_baseline,0.0
Port Stephens Council,residential_percent_change_from_baseline,2.0
Queanbeyan City Council,residential_percent_change_from_baseline,1.0
Randwick City Council,residential_percent_change_from_baseline,6.0
Richmond Valley Council,residential_percent_change_from_baseline,
Shellharbour City Council,residential_percent_change_from_baseline,1.0
Singleton Shire Council,residential_percent_change_from_baseline,
Strathfield Municipal Council,residential_percent_change_from_baseline,7.0
Sutherland Shire,residential_percent_change_from_baseline,4.0
Tamworth Regional Council,residential_percent_change_from_baseline,1.0
The Council of the Municipality of Hunters Hill,residential_percent_change_from_baseline,
The Council of the Municipality of Kiama,residential_percent_change_from_baseline,
The Council of the Shire of Hornsby,residential_percent_change_from_baseline,7.0
The Hills Shire,residential_percent_change_from_baseline,5.0
Tumut Council,residential_percent_change_from_baseline,
Tweed Shire Council,residential_percent_change_from_baseline,2.0
Wagga Wagga City Council,residential_percent_change_from_baseline,0.0
Waverley Council,residential_percent_change_from_baseline,6.0
Wingecarribee Shire Council,residential_percent_change_from_baseline,0.0
Wollondilly Shire Council,residential_percent_change_from_baseline,2.0
Wollongong City Council,residential_percent_change_from_baseline,2.0
Woollahra Municipal Council,residential_percent_change_from_baseline,7.0
Wyong Shire Council,residential_percent_change_from_baseline,1.0
Yass Valley Council,residential_percent_change_from_baseline,
Young Shire Council,residential_percent_change_from_baseline,
Alice Springs Municipality,residential_percent_change_from_baseline,0.0
Darwin Municipality,residential_percent_change_from_baseline,-1.0
Katherine Municipality,residential_percent_change_from_baseline,
Litchfield Municipality,residential_percent_change_from_baseline,
Palmerston Municipality,residential_percent_change_from_baseline,-1.0
Banana Shire,residential_percent_change_from_baseline,
Brisbane City,residential_percent_change_from_baseline,3.0
Bundaberg Regional,residential_percent_change_from_baseline,1.0
Burdekin Shire,residential_percent_change_from_baseline,
Cairns Regional,residential_percent_change_from_baseline,1.0
Cassowary Coast Regional,residential_percent_change_from_baseline,2.0
Central Highlands Regional,residential_percent_change_from_baseline,1.0
City of Gold Coast,residential_percent_change_from_baseline,1.0
City of Ipswich,residential_percent_change_from_baseline,0.0
Douglas Shire,residential_percent_change_from_baseline,
Fraser Coast Regional,residential_percent_change_from_baseline,1.0
Gladstone Regional,residential_percent_change_from_baseline,1.0
Gympie Regional,residential_percent_change_from_baseline,0.0
Isaac Regional,residential_percent_change_from_baseline,
Livingstone Shire,residential_percent_change_from_baseline,0.0
Lockyer Valley Regional,residential_percent_change_from_baseline,1.0
Logan City,residential_percent_change_from_baseline,0.0
Mackay Regional,residential_percent_change_from_baseline,1.0
Maranoa Regional,residential_percent_change_from_baseline,
Mareeba Shire,residential_percent_change_from_baseline,
Moreton Bay Region,residential_percent_change_from_baseline,1.0
Mount Isa City,residential_percent_change_from_baseline,
Noosa Shire,residential_percent_change_from_baseline,1.0
Redland City,residential_percent_change_from_baseline,2.0
Rockhampton Regional,residential_percent_change_from_baseline,1.0
Scenic Rim Regional,residential_percent_change_from_baseline,1.0
Somerset Regional,residential_percent_change_from_baseline,0.0
South Burnett Regional,residential_percent_change_from_baseline,0.0
Southern Downs Regional,residential_percent_change_from_baseline,1.0
Sunshine Coast Regional,residential_percent_change_from_baseline,1.0
Tablelands Regional,residential_percent_change_from_baseline,
Toowoomba Regional,residential_percent_change_from_baseline,1.0
Townsville City,residential_percent_change_from_baseline,0.0
Western Downs Regional,residential_percent_change_from_baseline,-3.0
Whitsunday Regional,residential_percent_change_from_baseline,1.0
Adelaide City Council,residential_percent_change_from_baseline,6.0
Adelaide Hills Council,residential_percent_change_from_baseline,1.0
Alexandrina Council,residential_percent_change_from_baseline,
Campbelltown City Council,residential_percent_change_from_baseline,2.0
City of Burnside,residential_percent_change_from_baseline,2.0
City of Charles Sturt,residential_percent_change_from_baseline,2.0
City of Holdfast Bay,residential_percent_change_from_baseline,2.0
City of Marion,residential_percent_change_from_baseline,2.0
City of Mitcham,residential_percent_change_from_baseline,2.0
City of Mount Gambier,residential_percent_change_from_baseline,0.0
City of Onkaparinga,residential_percent_change_from_baseline,2.0
City of Playford,residential_percent_change_from_baseline,1.0
City of Port Adelaide Enfield,residential_percent_change_from_baseline,2.0
City of Port Lincoln,residential_percent_change_from_baseline,
City of Prospect,residential_percent_change_from_baseline,
City of Salisbury,residential_percent_change_from_baseline,1.0
City of Tea Tree Gully,residential_percent_change_from_baseline,2.0
City of Unley,residential_percent_change_from_baseline,2.0
City of Victor Harbor,residential_percent_change_from_baseline,
City of West Torrens,residential_percent_change_from_baseline,1.0
District Council of Loxton Waikerie,residential_percent_change_from_baseline,
District Council of Mallala,residential_percent_change_from_baseline,
District Council of Mount Barker,residential_percent_change_from_baseline,-1.0
District Council of the Copper Coast,residential_percent_change_from_baseline,
Light Regional Council,residential_percent_change_from_baseline,
Port Augusta City Council,residential_percent_change_from_baseline,
Port Pirie Regional Council,residential_percent_change_from_baseline,
Renmark Paringa Council,residential_percent_change_from_baseline,
The Barossa Council,residential_percent_change_from_baseline,-1.0
The Berri Barmera Council,residential_percent_change_from_baseline,
The City of Norwood Payneham and St Peters,residential_percent_change_from_baseline,3.0
The Corporation of the City of Whyalla,residential_percent_change_from_baseline,0.0
The Rural City of Murray Bridge,residential_percent_change_from_baseline,
Town of Gawler,residential_percent_change_from_baseline,0.0
Break O'Day Council,residential_percent_change_from_baseline,
Brighton Council,residential_percent_change_from_baseline,
Burnie City Council,residential_percent_change_from_baseline,
Central Coast Council,residential_percent_change_from_baseline,
Clarence City Council,residential_percent_change_from_baseline,2.0
Derwent Valley Council,residential_percent_change_from_baseline,
Devonport City Council,residential_percent_change_from_baseline,2.0
Glamorgan-Spring Bay Council,residential_percent_change_from_baseline,
Glenorchy City Council,residential_percent_change_from_baseline,2.0
Hobart City Council,residential_percent_change_from_baseline,2.0
Huon Valley Council,residential_percent_change_from_baseline,
Kingborough Council,residential_percent_change_from_baseline,3.0
Latrobe Council,residential_percent_change_from_baseline,
Launceston City Council,residential_percent_change_from_baseline,2.0
Meander Valley Council,residential_percent_change_from_baseline,
Northern Midlands Council,residential_percent_change_from_baseline,
Sorell Council,residential_percent_change_from_baseline,
Waratah-Wynyard Council,residential_percent_change_from_baseline,
West Tamar Council,residential_percent_change_from_baseline,
Alpine Shire,residential_percent_change_from_baseline,
Ballarat City,residential_percent_change_from_baseline,2.0
Banyule City,residential_percent_change_from_baseline,6.0
Bass Coast Shire,residential_percent_change_from_baseline,3.0
Baw Baw Shire,residential_percent_change_from_baseline,1.0
Bayside City,residential_percent_change_from_baseline,7.0
Benalla Rural City,residential_percent_change_from_baseline,
Boroondara City,residential_percent_change_from_baseline,8.0
Brimbank City,residential_percent_change_from_baseline,4.0
Campaspe Shire,residential_percent_change_from_baseline,1.0
Cardinia Shire,residential_percent_change_from_baseline,2.0
Central Goldfields Shire,residential_percent_change_from_baseline,
City of Casey,residential_percent_change_from_baseline,3.0
City of Hume,residential_percent_change_from_baseline,3.0
City of Knox,residential_percent_change_from_baseline,5.0
City of Maribyrnong,residential_percent_change_from_baseline,9.0
City of Wyndham,residential_percent_change_from_baseline,7.0
City of Yarra,residential_percent_change_from_baseline,10.0
Colac Otway Shire,residential_percent_change_from_baseline,
Corangamite Shire,residential_percent_change_from_baseline,
Darebin City,residential_percent_change_from_baseline,8.0
East Gippsland Shire,residential_percent_change_from_baseline,1.0
Frankston City,residential_percent_change_from_baseline,3.0
Glen Eira City,residential_percent_change_from_baseline,8.0
Glenelg Shire,residential_percent_change_from_baseline,
Golden Plains Shire,residential_percent_change_from_baseline,
Greater Bendigo City,residential_percent_change_from_baseline,2.0
Greater Dandenong City,residential_percent_change_from_baseline,4.0
Greater Geelong City,residential_percent_change_from_baseline,3.0
Greater Shepparton City,residential_percent_change_from_baseline,0.0
Hepburn Shire,residential_percent_change_from_baseline,
Hobsons Bay City,residential_percent_change_from_baseline,6.0
Horsham Rural City,residential_percent_change_from_baseline,
Indigo Shire,residential_percent_change_from_baseline,
Kingston City,residential_percent_change_from_baseline,5.0
Latrobe City,residential_percent_change_from_baseline,1.0
Macedon Ranges Shire,residential_percent_change_from_baseline,3.0
Manningham City,residential_percent_change_from_baseline,6.0
Maroondah City,residential_percent_change_from_baseline,5.0
Melbourne City,residential_percent_change_from_baseline,11.0
Melton City,residential_percent_change_from_baseline,3.0
Mildura Rural City,residential_percent_change_from_baseline,0.0
Mitchell Shire,residential_percent_change_from_baseline,1.0
Moira Shire,residential_percent_change_from_baseline,3.0
Monash City,residential_percent_change_from_baseline,6.0
Moonee Valley City,residential_percent_change_from_baseline,7.0
Moorabool Shire,residential_percent_change_from_baseline,2.0
Moreland City,residential_percent_change_from_baseline,8.0
Mount Alexander Shire,residential_percent_change_from_baseline,
Moyne Shire,residential_percent_change_from_baseline,
Murrindindi Shire,residential_percent_change_from_baseline,
Nillumbik Shire,residential_percent_change_from_baseline,5.0
Northern Grampians Shire,residential_percent_change_from_baseline,
Port Phillip City,residential_percent_change_from_baseline,9.0
Shire of Mornington Peninsula,residential_percent_change_from_baseline,2.0
South Gippsland Shire,residential_percent_change_from_baseline,
Southern Grampians Shire,residential_percent_change_from_baseline,
Stonnington City,residential_percent_change_from_baseline,10.0
Surf Coast Shire,residential_percent_change_from_baseline,
Swan Hill Rural City,residential_percent_change_from_baseline,
Wangaratta Rural City,residential_percent_change_from_baseline,1.0
Warrnambool City,residential_percent_change_from_baseline,2.0
Wellington Shire,residential_percent_change_from_baseline,2.0
Whitehorse City,residential_percent_change_from_baseline,7.0
Whittlesea City,residential_percent_change_from_baseline,4.0
Wodonga City,residential_percent_change_from_baseline,1.0
Yarra Ranges Shire,residential_percent_change_from_baseline,4.0
City of Albany,residential_percent_change_from_baseline,2.0
City of Armadale,residential_percent_change_from_baseline,6.0
City of Bayswater,residential_percent_change_from_baseline,11.0
City of Belmont,residential_percent_change_from_baseline,9.0
City of Bunbury,residential_percent_change_from_baseline,3.0
City of Busselton,residential_percent_change_from_baseline,4.0
City of Canning,residential_percent_change_from_baseline,10.0
City of Cockburn,residential_percent_change_from_baseline,9.0
City of Fremantle,residential_percent_change_from_baseline,11.0
City of Gosnells,residential_percent_change_from_baseline,8.0
City of Greater Geraldton,residential_percent_change_from_baseline,1.0
City of Joondalup,residential_percent_change_from_baseline,9.0
City of Kalamunda,residential_percent_change_from_baseline,8.0
City of Kalgoorlie-Boulder,residential_percent_change_from_baseline,0.0
City of Karratha,residential_percent_change_from_baseline,3.0
City of Kwinana,residential_percent_change_from_baseline,7.0
City of Mandurah,residential_percent_change_from_baseline,5.0
City of Melville,residential_percent_change_from_baseline,12.0
City of Nedlands,residential_percent_change_from_baseline,
City of Perth,residential_percent_change_from_baseline,16.0
City of Rockingham,residential_percent_change_from_baseline,5.0
City of South Perth,residential_percent_change_from_baseline,14.0
City of Stirling,residential_percent_change_from_baseline,11.0
City of Subiaco,residential_percent_change_from_baseline,
City of Swan,residential_percent_change_from_baseline,6.0
City of Vincent,residential_percent_change_from_baseline,17.0
City of Wanneroo,residential_percent_change_from_baseline,7.0
Shire of Ashburton,residential_percent_change_from_baseline,
Shire of Augusta-Margaret River,residential_percent_change_from_baseline,
Shire of Broome,residential_percent_change_from_baseline,
Shire of Capel,residential_percent_change_from_baseline,
Shire of Dardanup,residential_percent_change_from_baseline,
Shire of East Pilbara,residential_percent_change_from_baseline,
Shire of Esperance,residential_percent_change_from_baseline,
Shire of Harvey,residential_percent_change_from_baseline,2.0
Shire of Mundaring,residential_percent_change_from_baseline,7.0
Shire of Murray,residential_percent_change_from_baseline,
Shire of Northam,residential_percent_change_from_baseline,
Shire of Serpentine-Jarrahdale,residential_percent_change_from_baseline,5.0
Town of Bassendean,residential_percent_change_from_baseline,
Town of Cambridge,residential_percent_change_from_baseline,
Town of Claremont,residential_percent_change_from_baseline,
Town of Cottesloe,residential_percent_change_from_baseline,
Town of Port Hedland,residential_percent_change_from_baseline,
Town of Victoria Park,residential_percent_change_from_baseline,15.0
